"sel","_id","gc","length","bestsumorder_phylum","HPA_04_pilon_bwa_aligned_sorted_cov","id"
"","121","0.4104","873032","Chordata","137.1344","ctg122_pilon_pilon"
"","122","0.4024","854525","Chordata","139.6783","ctg123_pilon_pilon"
"","123","0.4095","3460216","Chordata","140.0073","ctg124_pilon_pilon"
"","124","0.4149","838176","Chordata","142.2001","ctg125_pilon_pilon"
"","125","0.4123","1704003","Chordata","141.0567","ctg126_pilon_pilon"
"","126","0.4171","816844","Chordata","138.691","ctg127_pilon_pilon"
"","127","0.4411","804081","Chordata","138.6081","ctg128_pilon_pilon"
"","128","0.4039","810378","Chordata","139.5254","ctg129_pilon_pilon"
"","129","0.4243","2168544","Chordata","138.802","ctg130_pilon_pilon"
"","130","0.4007","793385","Chordata","141.2736","ctg131_pilon_pilon"
"","131","0.4051","777032","Chordata","139.5473","ctg132_pilon_pilon"
"","132","0.4035","771741","Chordata","139.7061","ctg133_pilon_pilon"
"","133","0.4202","762960","Chordata","137.2895","ctg134_pilon_pilon"
"","134","0.4251","748209","Chordata","138.6371","ctg135_pilon_pilon"
"","135","0.4122","721613","Chordata","139.2774","ctg136_pilon_pilon"
"","136","0.4379","735616","Chordata","159.615","ctg137_pilon_pilon"
"","137","0.4217","1515913","Chordata","147.0566","ctg138_pilon_pilon"
"","138","0.4146","715165","Chordata","136.8388","ctg139_pilon_pilon"
"","139","0.4012","695002","Chordata","140.1627","ctg140_pilon_pilon"
"","140","0.4044","1083773","Chordata","142.5611","ctg141_pilon_pilon"
"","141","0.3974","679686","Chordata","146.1001","ctg142_pilon_pilon"
"","142","0.4232","671305","Chordata","138.5452","ctg143_pilon_pilon"
"","143","0.4128","672263","Chordata","137.0533","ctg144_pilon_pilon"
"","144","0.4063","662066","Chordata","156.7052","ctg145_pilon_pilon"
"","145","0.4161","652648","Chordata","140.7113","ctg146_pilon_pilon"
"","146","0.4337","643111","Chordata","143.3933","ctg147_pilon_pilon"
"","147","0.4422","643257","Chordata","137.1315","ctg148_pilon_pilon"
"","148","0.4208","1798179","Chordata","148.7019","ctg149_pilon_pilon"
"","149","0.4261","635743","Chordata","138.4669","ctg150_pilon_pilon"
"","150","0.4135","633544","Chordata","138.6225","ctg151_pilon_pilon"
"","151","0.4109","1069914","Chordata","140.13","ctg152_pilon_pilon"
"","152","0.4059","612561","Chordata","140.481","ctg153_pilon_pilon"
"","153","0.4297","603308","Chordata","139.0761","ctg154_pilon_pilon"
"","154","0.4119","602248","Chordata","138.0751","ctg155_pilon_pilon"
"","155","0.4347","592378","Chordata","138.661","ctg156_pilon_pilon"
"","156","0.4122","1136431","Chordata","139.0634","ctg157_pilon_pilon"
"","157","0.4354","593825","Chordata","137.896","ctg158_pilon_pilon"
"","158","0.4135","582796","Chordata","139.8232","ctg159_pilon_pilon"
"","159","0.4326","580882","Chordata","141.6581","ctg160_pilon_pilon"
"","160","0.4199","574765","Chordata","152.385","ctg161_pilon_pilon"
"","161","0.4142","567439","Chordata","148.0545","ctg162_pilon_pilon"
"","162","0.442","807751","Chordata","144.3885","ctg163_pilon_pilon"
"","163","0.4146","557805","Chordata","138.0145","ctg164_pilon_pilon"
"","164","0.4019","1713844","Chordata","139.8018","ctg165_pilon_pilon"
"","165","0.4003","1001988","Chordata","146.6188","ctg166_pilon_pilon"
"","166","0.4058","545964","Chordata","140.7391","ctg167_pilon_pilon"
"","167","0.4152","566927","Chordata","143.628","ctg168_pilon_pilon"
"","168","0.4145","530403","Chordata","141.1143","ctg169_pilon_pilon"
"","169","0.42","533317","Chordata","135.793","ctg170_pilon_pilon"
"","170","0.4005","526311","Chordata","139.1694","ctg171_pilon_pilon"
"","171","0.4139","520380","Chordata","140.7849","ctg172_pilon_pilon"
"","172","0.4061","509600","Chordata","138.6023","ctg173_pilon_pilon"
"","173","0.3935","613443","Chordata","156.2988","ctg174_pilon_pilon"
"","174","0.4001","494374","Chordata","146.555","ctg175_pilon_pilon"
"","175","0.4359","881288","Chordata","142.7155","ctg176_pilon_pilon"
"","176","0.3985","482785","Chordata","138.6966","ctg177_pilon_pilon"
"","177","0.4218","473858","Chordata","144.325","ctg178_pilon_pilon"
"","178","0.4282","472833","Chordata","137.4954","ctg179_pilon_pilon"
"","179","0.4031","474137","Chordata","157.0511","ctg180_pilon_pilon"
"","180","0.3964","1000822","Chordata","144.2418","ctg181_pilon_pilon"
"","181","0.4222","464789","Chordata","135.7505","ctg182_pilon_pilon"
"","182","0.4147","455230","Chordata","140.2614","ctg183_pilon_pilon"
"","183","0.4239","453051","Chordata","136.7192","ctg184_pilon_pilon"
"","184","0.4242","450333","Chordata","143.9902","ctg185_pilon_pilon"
"","185","0.4326","1207464","Chordata","153.433","ctg186_pilon_pilon"
"","186","0.4102","438121","Chordata","141.4664","ctg187_pilon_pilon"
"","187","0.4195","427634","Chordata","137.6426","ctg188_pilon_pilon"
"","188","0.4028","425656","Chordata","137.7615","ctg189_pilon_pilon"
"","189","0.4182","415824","Chordata","135.6319","ctg190_pilon_pilon"
"","190","0.4391","396607","Chordata","138.2348","ctg191_pilon_pilon"
"","191","0.3981","394726","Chordata","143.6468","ctg192_pilon_pilon"
"","192","0.4297","391494","Chordata","156.6902","ctg193_pilon_pilon"
"","193","0.4026","773770","Chordata","142.6866","ctg194_pilon_pilon"
"","194","0.3992","423619","Chordata","157.4666","ctg195_pilon_pilon"
"","195","0.4436","377805","Chordata","137.4914","ctg196_pilon_pilon"
"","196","0.4128","375458","Chordata","138.9727","ctg198_pilon_pilon"
"","197","0.4017","373085","Chordata","141.5602","ctg197_pilon_pilon"
"","198","0.4261","357959","Chordata","152.0055","ctg199_pilon_pilon"
"","199","0.4147","453899","Chordata","140.1162","ctg200_pilon_pilon"
"","200","0.4022","347934","Chordata","151.3452","ctg201_pilon_pilon"
"","201","0.4009","342055","Chordata","139.201","ctg202_pilon_pilon"
"","202","0.417","338688","Chordata","138.0762","ctg203_pilon_pilon"
"","203","0.4013","1432120","Chordata","145.5714","ctg204_pilon_pilon"
"","204","0.4186","321494","Chordata","148.7615","ctg205_pilon_pilon"
"","205","0.4244","311671","Chordata","136.2305","ctg206_pilon_pilon"
"","206","0.4101","307276","Chordata","141.3659","ctg207_pilon_pilon"
"","207","0.435","305056","Chordata","139.8742","ctg208_pilon_pilon"
"","208","0.4055","298668","Chordata","167.9979","ctg209_pilon_pilon"
"","209","0.3881","285167","Chordata","142.9116","ctg210_pilon_pilon"
"","210","0.4023","284790","Chordata","141.2982","ctg211_pilon_pilon"
"","211","0.4052","282979","Chordata","140.8677","ctg212_pilon_pilon"
"","212","0.4056","280183","Chordata","142.8112","ctg213_pilon_pilon"
"","213","0.4005","536543","Chordata","144.6775","ctg214_pilon_pilon"
"","214","0.4183","292000","Chordata","145.6622","ctg215_pilon_pilon"
"","215","0.4107","240547","Chordata","136.475","ctg217_pilon_pilon"
"","216","0.3993","264725","Chordata","145.2291","ctg216_pilon_pilon"
"","217","0.4039","216595","Chordata","147.6175","ctg218_pilon_pilon"
"","218","0.4571","214956","Chordata","138.1286","ctg219_pilon_pilon"
"","219","0.4247","217685","Chordata","141.1402","ctg221_pilon_pilon"
"","220","0.4144","358805","Chordata","174.0286","ctg220_pilon_pilon"
"","221","0.4116","207196","Chordata","143.0599","ctg223_pilon_pilon"
"","222","0.4051","202487","Chordata","134.6449","ctg224_pilon_pilon"
"","223","0.3971","212978","Chordata","157.9251","ctg222_pilon_pilon"
"","224","0.3932","198859","Chordata","145.0832","ctg225_pilon_pilon"
"","225","0.4307","463925","Chordata","188.4487","ctg226_pilon_pilon"
"","226","0.4061","184162","Chordata","144.7761","ctg227_pilon_pilon"
"","227","0.4078","187064","Chordata","142.2774","ctg228_pilon_pilon"
"","228","0.4113","184679","Chordata","136.688","ctg229_pilon_pilon"
"","229","0.4122","182708","Chordata","153.6584","ctg230_pilon_pilon"
"","230","0.4104","270575","Chordata","146.7282","ctg231_pilon_pilon"
"","231","0.4157","171029","Chordata","172.7461","ctg232_pilon_pilon"
"","232","0.4187","172951","Chordata","138.1244","ctg233_pilon_pilon"
"","233","0.4159","160495","Chordata","134.4534","ctg234_pilon_pilon"
"","234","0.4101","157841","Chordata","149.8009","ctg235_pilon_pilon"
"","235","0.4314","155345","Chordata","141.3143","ctg236_pilon_pilon"
"","236","0.4056","149555","Chordata","143.885","ctg237_pilon_pilon"
"","237","0.3962","145940","Chordata","142.9333","ctg238_pilon_pilon"
"","238","0.404","147456","Chordata","143.5557","ctg239_pilon_pilon"
"","239","0.396","279490","Chordata","149.6942","ctg240_pilon_pilon"
"","240","0.393","140849","Chordata","140.8481","ctg241_pilon_pilon"
"","241","0.4131","144999","Chordata","139.5083","ctg242_pilon_pilon"
"","242","0.4158","137407","Chordata","174.1544","ctg243_pilon_pilon"
"","243","0.4225","124432","Chordata","179.0964","ctg244_pilon_pilon"
"","244","0.3995","121417","Chordata","169.5581","ctg245_pilon_pilon"
"","245","0.4163","180354","Chordata","165.842","ctg246_pilon_pilon"
"","246","0.4035","118041","Chordata","152.0061","ctg247_pilon_pilon"
"","247","0.4063","108484","Chordata","240.211","ctg248_pilon_pilon"
"","248","0.4148","110228","Chordata","137.562","ctg249_pilon_pilon"
"","249","0.4097","103547","Chordata","144.4657","ctg250_pilon_pilon"
"","250","0.3859","99684","Chordata","136.8406","ctg252_pilon_pilon"
"","251","0.3981","128275","Chordata","143.2692","ctg251_pilon_pilon"
"","252","0.4006","95230","Chordata","149.5552","ctg253_pilon_pilon"
"","253","0.4135","93273","Chordata","140.869","ctg254_pilon_pilon"
"","254","0.3985","91356","Chordata","139.6434","ctg255_pilon_pilon"
"","255","0.3931","81326","Chordata","148.0518","ctg256_pilon_pilon"
"","256","0.3986","88004","Chordata","154.4034","ctg257_pilon_pilon"
"","257","0.4045","79744","Chordata","177.8281","ctg258_pilon_pilon"
"","258","0.4208","71577","Chordata","149.9552","ctg260_pilon_pilon"
"","259","0.4284","64708","Chordata","258.2292","ctg259_pilon_pilon"
"","260","0.4261","67805","Chordata","146.4811","ctg261_pilon_pilon"
"","261","0.4192","67812","Chordata","140.9759","ctg262_pilon_pilon"
"","262","0.425","64912","Chordata","144.1842","ctg263_pilon_pilon"
"","263","0.3878","62056","Chordata","140.6086","ctg265_pilon_pilon"
"","264","0.4065","62149","Chordata","235.1515","ctg266_pilon_pilon"
"","265","0.399","60286","Chordata","141.1437","ctg267_pilon_pilon"
"","266","0.4094","63171","Chordata","276.5265","ctg264_pilon_pilon"
"","267","0.4026","59630","Chordata","148.5072","ctg268_pilon_pilon"
"","268","0.3956","97349","Chordata","145.657","ctg269_pilon_pilon"
"","269","0.3854","51357","Chordata","144.8702","ctg270_pilon_pilon"
"","270","0.4327","66693","Chordata","216.7637","ctg271_pilon_pilon"
"","271","0.4004","48458","Chordata","145.5967","ctg272_pilon_pilon"
"","272","0.4096","61267","Chordata","248.1406","ctg273_pilon_pilon"
"","273","0.3971","45755","Chordata","334.7075","ctg274_pilon_pilon"
"","274","0.4285","46483","Chordata","139.7963","ctg275_pilon_pilon"
"","275","0.4056","45063","Chordata","290.4161","ctg276_pilon_pilon"
"","276","0.3979","42572","Chordata","149.8439","ctg277_pilon_pilon"
"","277","0.4226","52649","Chordata","144.769","ctg278_pilon_pilon"
"","278","0.4014","84527","Chordata","276.3074","ctg279_pilon_pilon"
"","279","0.4443","39015","Chordata","254.5672","ctg280_pilon_pilon"
"","280","0.4194","33910","Chordata","156.4775","ctg283_pilon_pilon"
"","281","0.3536","38704","Chordata","186.444","ctg281_pilon_pilon"
"","282","0.3997","85429","Chordata","517.0053","ctg282_pilon_pilon"
"","283","0.4243","33750","Chordata","178.251","ctg284_pilon_pilon"
"","284","0.4181","32377","Chordata","156.9375","ctg286_pilon_pilon"
"","285","0.3963","32143","Chordata","140.3697","ctg287_pilon_pilon"
"","286","0.4044","28933","Chordata","175.0433","ctg288_pilon_pilon"
"","287","0.3883","47249","Chordata","318.1694","ctg285_pilon_pilon"
"","288","0.3766","42056","Chordata","1069.5563","ctg289_pilon_pilon"
"","289","0.4484","24720","Chordata","693.4365","ctg293_pilon_pilon"
"","290","0.409","26953","Chordata","182.7915","ctg290_pilon_pilon"
"","291","0.4225","32857","Chordata","220.1461","ctg292_pilon_pilon"
"","292","0.2187","51891","no-hit","0.3417","ctg291_pilon_pilon"
"","293","0.4244","24132","Chordata","304.6296","ctg294_pilon_pilon"
"","294","0.3837","26114","Chordata","353.6604","ctg297_pilon_pilon"
"","295","0.4226","23348","Chordata","149.9748","ctg298_pilon_pilon"
"","296","0.4368","24075","Chordata","176.3443","ctg299_pilon_pilon"
"","297","0.2491","5568","no-hit","2.2254","ctg296_pilon_pilon"
"","298","0.4021","23644","Chordata","280.0759","ctg301_pilon_pilon"
"","299","0.3702","18377","no-hit","1500.7934","ctg295_pilon_pilon"
"","300","0.4073","21412","Chordata","142.3634","ctg303_pilon_pilon"
"","301","0.4112","21885","Chordata","178.6664","ctg302_pilon_pilon"
"","302","0.3661","9351","no-hit","1201.3676","ctg304_pilon_pilon"
"","303","0.4212","21375","Chordata","210.6174","ctg306_pilon_pilon"
"","304","0.3908","20487","Chordata","241.0585","ctg307_pilon_pilon"
"","305","0.3965","18699","Chordata","171.06","ctg310_pilon_pilon"
"","306","0.3731","11819","no-hit","1401.6704","ctg308_pilon_pilon"
"","307","0.3957","18525","Chordata","302.7547","ctg309_pilon_pilon"
"","308","0.4103","19509","Chordata","154.3045","ctg311_pilon_pilon"
"","309","0.3837","19852","Chordata","145.1405","ctg312_pilon_pilon"
"","310","0.3702","14602","Chordata","889.8467","ctg300_pilon_pilon"
"","311","0.436","19381","Chordata","163.8024","ctg315_pilon_pilon"
"","312","0.3725","14099","no-hit","793.1756","ctg305_pilon_pilon"
"","313","0.4037","18978","Chordata","391.9536","ctg316_pilon_pilon"
"","314","0.3628","12655","no-hit","1713.0627","ctg313_pilon_pilon"
"","315","0.4362","25992","Chordata","1065.9442","ctg314_pilon_pilon"
"","316","0.3666","18878","no-hit","518.7225","ctg319_pilon_pilon"
"","317","0.4045","17834","Chordata","229.5979","ctg318_pilon_pilon"
"","318","0.37","9868","no-hit","2156.2767","ctg321_pilon_pilon"
"","319","0.4123","11218","no-hit","700.2458","ctg323_pilon_pilon"
"","320","0.3676","15776","no-hit","674.6008","ctg317_pilon_pilon"
"","321","0.4267","17552","Chordata","137.0034","ctg324_pilon_pilon"
"","322","0.3723","13148","no-hit","1775.4658","ctg327_pilon_pilon"
"","323","0.4026","20351","Chordata","129.5457","ctg322_pilon_pilon"
"","324","0.4138","26680","Chordata","353.1909","ctg325_pilon_pilon"
"","325","0.3714","17414","no-hit","2977.0618","ctg320_pilon_pilon"
"","326","0.4152","22288","Chordata","587.1561","ctg329_pilon_pilon"
"","327","0.4013","13593","Chordata","771.1245","ctg328_pilon_pilon"
"","328","0.4281","14051","Chordata","344.8983","ctg326_pilon_pilon"
"","329","0.3732","21293","Chordata","771.3541","ctg330_pilon_pilon"
"","330","0.3979","15540","Chordata","155.6151","ctg331_pilon_pilon"
"","331","0.3872","15812","Chordata","353.0768","ctg332_pilon_pilon"
"","332","0.4933","2528","Chordata","0.3165","ctg335_pilon_pilon"
"","333","0.3709","10228","no-hit","879.463","ctg333_pilon_pilon"
"","334","0.4196","14623","Chordata","192.8788","ctg336_pilon_pilon"
"","335","0.4342","14944","Chordata","220.6811","ctg337_pilon_pilon"
"","336","0.3697","17669","no-hit","516.4915","ctg334_pilon_pilon"
"","337","0.3667","8811","no-hit","910.0385","ctg338_pilon_pilon"
"","338","0.4168","11998","Chordata","335.722","ctg343_pilon_pilon"
"","339","0.3895","10503","Chordata","381.1083","ctg342_pilon_pilon"
"","340","0.5173","11348","Chordata","2164.8662","ctg340_pilon_pilon"
"","341","0.3967","9002","no-hit","843.0458","ctg344_pilon_pilon"
"","342","0.4102","11812","Chordata","163.7034","ctg347_pilon_pilon"
"","343","0.3977","11517","Chordata","1.1256","ctg345_pilon_pilon"
"","344","0.3583","13803","Chordata","161.2327","ctg339_pilon_pilon"
"","345","0.4515","10818","Chordata","848.0776","ctg346_pilon_pilon"
"","346","0.3631","2490","no-hit","463.4831","ctg352_pilon_pilon"
"","347","0.3877","7630","Chordata","0.0029","ctg351_pilon_pilon"
"","348","0.4066","10987","Chordata","365.8738","ctg353_pilon_pilon"
"","349","0.3766","8778","Chordata","1481.2567","ctg356_pilon_pilon"
"","350","0.3689","11437","no-hit","1280.0568","ctg354_pilon_pilon"
"","351","0.3716","6200","no-hit","3425.6613","ctg355_pilon_pilon"
"","352","0.4053","12701","Chordata","360.8253","ctg350_pilon_pilon"
"","353","0.4687","8054","no-hit","9.2271","ctg349_pilon_pilon"
"","354","0.4132","11114","Chordata","609.5964","ctg360_pilon_pilon"
"","355","0.3722","7150","no-hit","2968.6596","ctg358_pilon_pilon"
"","356","0.4018","10028","Chordata","316.9226","ctg362_pilon_pilon"
"","357","0.6027","10407","Chordata","8692.9592","ctg367_pilon_pilon"
"","358","0.3714","10152","no-hit","2104.9963","ctg357_pilon_pilon"
"","359","0.4031","10418","no-hit","539.2088","ctg365_pilon_pilon"
"","360","0.3551","10035","Chordata","0.027","ctg364_pilon_pilon"
"","361","0.4364","9830","Chordata","259.1203","ctg363_pilon_pilon"
"","362","0.409","10446","Chordata","141.5347","ctg368_pilon_pilon"
"","363","0.3711","15398","no-hit","1366.9488","ctg348_pilon_pilon"
"","364","0.4084","13215","Chordata","297.9633","ctg341_pilon_pilon"
"","365","0.4339","9431","Chordata","0.0901","ctg371_pilon_pilon"
"","366","0.3691","7717","no-hit","1404.8051","ctg366_pilon_pilon"
"","367","0.4496","18181","Chordata","235.5088","ctg369_pilon_pilon"
"","368","0.3631","10068","Chordata","155.7172","ctg373_pilon_pilon"
"","369","0.3735","13116","Chordata","604.8235","ctg361_pilon_pilon"
"","370","0.4194","9675","Chordata","189.335","ctg375_pilon_pilon"
"","371","0.3672","7431","no-hit","367.7785","ctg376_pilon_pilon"
"","372","0.3972","5415","no-hit","545.4253","ctg379_pilon_pilon"
"","373","0.3837","8634","Chordata","282.8736","ctg374_pilon_pilon"
"","374","0.4103","8934","Chordata","443.8685","ctg377_pilon_pilon"
"","375","0.3717","5292","no-hit","852.1506","ctg378_pilon_pilon"
"","376","0.3688","6133","no-hit","602.5677","ctg372_pilon_pilon"
"","377","0.3709","8378","Chordata","891.5901","ctg381_pilon_pilon"
"","378","0.3908","4010","no-hit","0.0579","ctg380_pilon_pilon"
"","379","0.3717","9053","no-hit","1123.6103","ctg383_pilon_pilon"
"","380","0.404","9615","Chordata","618.3992","ctg359_pilon_pilon"
"","381","0.4812","8202","Chordata","93.0918","ctg385_pilon_pilon"
"","382","0.4357","31918","Chordata","737.5978","ctg384_pilon_pilon"
